patent_id,title,abstract,filing_date,year
US10000038,Semiconductor network,A method and apparatus for improved performance.,2021-08-01,2021
US10000039,Wireless network,A method and apparatus for improved performance.,2020-04-11,2020
US10000040,Battery method,A method and apparatus for improved performance.,2019-11-21,2019
US10000041,Battery circuit,A method and apparatus for improved performance.,2018-08-08,2018
US10000042,Battery method,A method and apparatus for improved performance.,2018-03-26,2018
US10000043,Optical apparatus,A method and apparatus for improved performance.,2016-04-19,2016
US10000044,Optical circuit,A method and apparatus for improved performance.,2020-03-07,2020
US10000045,Optical circuit,A method and apparatus for improved performance.,2022-01-05,2022
US10000046,Battery method,A method and apparatus for improved performance.,2019-11-30,2019
US10000047,Quantum network,A method and apparatus for improved performance.,2021-10-29,2021
US10000048,Semiconductor device,A method and apparatus for improved performance.,2019-07-30,2019
US10000049,Quantum method,A method and apparatus for improved performance.,2022-04-07,2022
US10000050,Quantum method,A method and apparatus for improved performance.,2020-04-18,2020
US10000051,Battery device,A method and apparatus for improved performance.,2020-09-12,2020
US10000052,Wireless system,A method and apparatus for improved performance.,2018-10-24,2018
US10000053,Battery method,A method and apparatus for improved performance.,2021-07-03,2021
US10000054,Wireless apparatus,A method and apparatus for improved performance.,2018-09-23,2018
US10000055,Quantum apparatus,A method and apparatus for improved performance.,2022-10-27,2022
US10000056,Battery method,A method and apparatus for improved performance.,2020-04-21,2020
US10000057,Semiconductor device,A method and apparatus for improved performance.,2020-07-21,2020
US10000058,Semiconductor apparatus,A method and apparatus for improved performance.,2019-12-09,2019
US10000059,Optical system,A method and apparatus for improved performance.,2015-11-03,2015
US10000060,Battery apparatus,A method and apparatus for improved performance.,2018-09-07,2018
US10000061,Semiconductor apparatus,A method and apparatus for improved performance.,2021-01-25,2021
US10000062,Battery circuit,A method and apparatus for improved performance.,2017-07-20,2017
US10000063,Quantum network,A method and apparatus for improved performance.,2019-12-23,2019
US10000064,Neural system,A method and apparatus for improved performance.,2018-04-16,2018
US10000065,Quantum device,A method and apparatus for improved performance.,2022-08-24,2022
US10000066,Battery device,A method and apparatus for improved performance.,2021-12-13,2021
US10000067,Neural network,A method and apparatus for improved performance.,2020-02-26,2020
US10000068,Wireless device,A method and apparatus for improved performance.,2022-08-07,2022
US10000069,Neural network,A method and apparatus for improved performance.,2021-08-03,2021
US10000070,Optical method,A method and apparatus for improved performance.,2017-03-26,2017
US10000071,Neural network,A method and apparatus for improved performance.,2021-06-12,2021
US10000072,Battery network,A method and apparatus for improved performance.,2021-05-07,2021
US10000073,Wireless system,A method and apparatus for improved performance.,2017-07-31,2017
US10000074,Battery network,A method and apparatus for improved performance.,2022-08-08,2022
US10000075,Semiconductor system,A method and apparatus for improved performance.,2022-04-01,2022
US10000076,Neural system,A method and apparatus for improved performance.,2016-01-05,2016
US10000077,Wireless apparatus,A method and apparatus for improved performance.,2019-02-07,2019
US10000078,Neural network,A method and apparatus for improved performance.,2020-05-27,2020
US10000079,Quantum network,A method and apparatus for improved performance.,2016-07-30,2016
US10000080,Neural apparatus,A method and apparatus for improved performance.,2015-02-27,2015
US10000081,Optical network,A method and apparatus for improved performance.,2021-07-22,2021
US10000082,Wireless system,A method and apparatus for improved performance.,2021-12-12,2021
US10000083,Neural network,A method and apparatus for improved performance.,2022-11-11,2022
US10000084,Optical circuit,A method and apparatus for improved performance.,2018-05-31,2018
US10000085,Optical method,A method and apparatus for improved performance.,2016-07-09,2016
US10000086,Wireless network,A method and apparatus for improved performance.,2019-09-13,2019
US10000087,Optical system,A method and apparatus for improved performance.,2021-11-26,2021
US10000088,Quantum system,A method and apparatus for improved performance.,2019-12-27,2019
US10000089,Optical system,A method and apparatus for improved performance.,2015-09-06,2015
US10000090,Semiconductor network,A method and apparatus for improved performance.,2020-02-06,2020
US10000091,Neural device,A method and apparatus for improved performance.,2015-07-27,2015
US10000092,Wireless device,A method and apparatus for improved performance.,2017-04-28,2017
US10000093,Neural device,A method and apparatus for improved performance.,2015-01-12,2015
US10000094,Battery circuit,A method and apparatus for improved performance.,2016-03-26,2016
US10000095,Neural circuit,A method and apparatus for improved performance.,2021-08-08,2021
US10000096,Semiconductor network,A method and apparatus for improved performance.,2020-11-24,2020
US10000097,Wireless circuit,A method and apparatus for improved performance.,2020-10-03,2020
US10000098,Battery network,A method and apparatus for improved performance.,2015-06-27,2015
US10000099,Optical method,A method and apparatus for improved performance.,2015-09-07,2015
US10000100,Semiconductor system,A method and apparatus for improved performance.,2015-10-29,2015
US10000101,Battery system,A method and apparatus for improved performance.,2021-02-24,2021
US10000102,Optical circuit,A method and apparatus for improved performance.,2021-10-15,2021
US10000103,Battery device,A method and apparatus for improved performance.,2021-03-08,2021
US10000104,Optical network,A method and apparatus for improved performance.,2019-06-22,2019
US10000105,Quantum network,A method and apparatus for improved performance.,2019-03-14,2019
US10000106,Optical circuit,A method and apparatus for improved performance.,2016-01-17,2016
US10000107,Wireless system,A method and apparatus for improved performance.,2021-04-19,2021
US10000108,Battery circuit,A method and apparatus for improved performance.,2019-09-29,2019
US10000109,Quantum device,A method and apparatus for improved performance.,2020-09-09,2020
US10000110,Semiconductor system,A method and apparatus for improved performance.,2019-02-14,2019
US10000111,Wireless network,A method and apparatus for improved performance.,2021-12-21,2021
US10000112,Neural circuit,A method and apparatus for improved performance.,2022-10-11,2022
US10000113,Neural circuit,A method and apparatus for improved performance.,2018-10-23,2018
US10000114,Quantum network,A method and apparatus for improved performance.,2015-10-13,2015
US10000115,Optical system,A method and apparatus for improved performance.,2019-09-16,2019
US10000116,Wireless circuit,A method and apparatus for improved performance.,2021-05-13,2021
US10000117,Battery circuit,A method and apparatus for improved performance.,2015-07-23,2015
US10000118,Optical system,A method and apparatus for improved performance.,2019-12-16,2019
US10000119,Semiconductor system,A method and apparatus for improved performance.,2019-10-27,2019
US10000120,Quantum method,A method and apparatus for improved performance.,2015-07-06,2015
US10000121,Neural system,A method and apparatus for improved performance.,2016-07-16,2016
US10000122,Quantum method,A method and apparatus for improved performance.,2016-12-20,2016
US10000123,Optical network,A method and apparatus for improved performance.,2015-10-23,2015
US10000124,Wireless method,A method and apparatus for improved performance.,2018-07-06,2018
US10000125,Semiconductor system,A method and apparatus for improved performance.,2019-07-18,2019
US10000126,Optical circuit,A method and apparatus for improved performance.,2015-12-27,2015
US10000127,Optical system,A method and apparatus for improved performance.,2015-11-19,2015
US10000128,Battery circuit,A method and apparatus for improved performance.,2020-09-21,2020
US10000129,Semiconductor device,A method and apparatus for improved performance.,2017-08-25,2017
US10000130,Battery method,A method and apparatus for improved performance.,2016-12-26,2016
US10000131,Wireless network,A method and apparatus for improved performance.,2022-08-21,2022
US10000132,Optical method,A method and apparatus for improved performance.,2015-10-07,2015
US10000133,Neural method,A method and apparatus for improved performance.,2015-10-31,2015
US10000134,Battery circuit,A method and apparatus for improved performance.,2015-11-11,2015
US10000135,Optical apparatus,A method and apparatus for improved performance.,2015-06-18,2015
US10000136,Optical circuit,A method and apparatus for improved performance.,2015-09-11,2015
US10000137,Quantum network,A method and apparatus for improved performance.,2015-06-10,2015
US10000138,Neural system,A method and apparatus for improved performance.,2019-01-30,2019
US10000139,Battery network,A method and apparatus for improved performance.,2015-08-03,2015
US10000140,Neural network,A method and apparatus for improved performance.,2018-03-09,2018
US10000141,Neural network,A method and apparatus for improved performance.,2018-12-03,2018
US10000142,Wireless method,A method and apparatus for improved performance.,2018-06-22,2018
US10000143,Battery network,A method and apparatus for improved performance.,2016-01-18,2016
US10000144,Quantum system,A method and apparatus for improved performance.,2017-01-08,2017
US10000145,Semiconductor system,A method and apparatus for improved performance.,2016-09-26,2016
US10000146,Battery system,A method and apparatus for improved performance.,2015-06-04,2015
US10000147,Wireless device,A method and apparatus for improved performance.,2022-10-08,2022
US10000148,Wireless system,A method and apparatus for improved performance.,2019-12-25,2019
US10000149,Neural network,A method and apparatus for improved performance.,2017-03-05,2017
US10000150,Wireless method,A method and apparatus for improved performance.,2020-08-21,2020
US10000151,Neural circuit,A method and apparatus for improved performance.,2016-07-20,2016
US10000152,Wireless circuit,A method and apparatus for improved performance.,2022-12-23,2022
US10000153,Quantum method,A method and apparatus for improved performance.,2020-10-03,2020
US10000154,Semiconductor method,A method and apparatus for improved performance.,2018-12-02,2018
US10000155,Semiconductor system,A method and apparatus for improved performance.,2019-05-01,2019
US10000156,Neural device,A method and apparatus for improved performance.,2022-04-16,2022
US10000157,Quantum network,A method and apparatus for improved performance.,2022-10-22,2022
US10000158,Neural device,A method and apparatus for improved performance.,2015-03-19,2015
US10000159,Wireless method,A method and apparatus for improved performance.,2021-10-29,2021
US10000160,Semiconductor device,A method and apparatus for improved performance.,2016-05-14,2016
US10000161,Wireless apparatus,A method and apparatus for improved performance.,2020-08-09,2020
US10000162,Neural method,A method and apparatus for improved performance.,2016-08-11,2016
US10000163,Quantum network,A method and apparatus for improved performance.,2019-09-03,2019
US10000164,Wireless apparatus,A method and apparatus for improved performance.,2021-02-06,2021
US10000165,Neural network,A method and apparatus for improved performance.,2019-03-10,2019
US10000166,Battery network,A method and apparatus for improved performance.,2017-09-14,2017
US10000167,Semiconductor system,A method and apparatus for improved performance.,2016-06-30,2016
US10000168,Optical network,A method and apparatus for improved performance.,2022-09-05,2022
US10000169,Battery method,A method and apparatus for improved performance.,2015-09-16,2015
US10000170,Neural system,A method and apparatus for improved performance.,2015-06-21,2015
US10000171,Neural circuit,A method and apparatus for improved performance.,2018-03-17,2018
US10000172,Battery method,A method and apparatus for improved performance.,2019-06-27,2019
US10000173,Wireless system,A method and apparatus for improved performance.,2019-02-13,2019
US10000174,Quantum apparatus,A method and apparatus for improved performance.,2021-10-03,2021
US10000175,Optical apparatus,A method and apparatus for improved performance.,2018-06-09,2018
US10000176,Battery system,A method and apparatus for improved performance.,2015-06-23,2015
US10000177,Semiconductor network,A method and apparatus for improved performance.,2015-08-23,2015
US10000178,Quantum circuit,A method and apparatus for improved performance.,2022-08-14,2022
US10000179,Quantum circuit,A method and apparatus for improved performance.,2015-05-23,2015
US10000180,Wireless circuit,A method and apparatus for improved performance.,2019-04-18,2019
US10000181,Optical circuit,A method and apparatus for improved performance.,2019-03-04,2019
US10000182,Semiconductor circuit,A method and apparatus for improved performance.,2017-10-19,2017
US10000183,Neural system,A method and apparatus for improved performance.,2016-04-27,2016
US10000184,Semiconductor device,A method and apparatus for improved performance.,2017-03-30,2017
US10000185,Battery system,A method and apparatus for improved performance.,2015-12-26,2015
US10000186,Quantum network,A method and apparatus for improved performance.,2018-05-13,2018
US10000187,Semiconductor device,A method and apparatus for improved performance.,2017-07-07,2017
US10000188,Wireless apparatus,A method and apparatus for improved performance.,2019-01-18,2019
US10000189,Neural method,A method and apparatus for improved performance.,2015-09-27,2015
US10000190,Semiconductor device,A method and apparatus for improved performance.,2021-06-12,2021
US10000191,Quantum apparatus,A method and apparatus for improved performance.,2018-11-12,2018
US10000192,Wireless circuit,A method and apparatus for improved performance.,2019-11-08,2019
US10000193,Neural network,A method and apparatus for improved performance.,2016-10-25,2016
US10000194,Neural circuit,A method and apparatus for improved performance.,2020-10-26,2020
US10000195,Quantum network,A method and apparatus for improved performance.,2018-01-29,2018
US10000196,Wireless device,A method and apparatus for improved performance.,2021-08-21,2021
US10000197,Wireless circuit,A method and apparatus for improved performance.,2018-10-14,2018
US10000198,Battery device,A method and apparatus for improved performance.,2017-12-20,2017
US10000199,Battery system,A method and apparatus for improved performance.,2018-04-01,2018
US10000200,Battery circuit,A method and apparatus for improved performance.,2015-10-26,2015
US10000201,Neural apparatus,A method and apparatus for improved performance.,2017-04-15,2017
US10000202,Battery system,A method and apparatus for improved performance.,2018-07-31,2018
US10000203,Neural device,A method and apparatus for improved performance.,2016-03-10,2016
US10000204,Semiconductor system,A method and apparatus for improved performance.,2016-02-01,2016
US10000205,Wireless network,A method and apparatus for improved performance.,2018-09-03,2018
US10000206,Optical system,A method and apparatus for improved performance.,2020-03-27,2020
US10000207,Optical device,A method and apparatus for improved performance.,2020-09-01,2020
US10000208,Optical apparatus,A method and apparatus for improved performance.,2018-02-26,2018
US10000209,Quantum system,A method and apparatus for improved performance.,2019-11-01,2019
US10000210,Wireless apparatus,A method and apparatus for improved performance.,2015-07-29,2015
US10000211,Wireless method,A method and apparatus for improved performance.,2019-05-02,2019
US10000212,Optical system,A method and apparatus for improved performance.,2016-02-01,2016
US10000213,Wireless method,A method and apparatus for improved performance.,2021-10-03,2021
US10000214,Wireless method,A method and apparatus for improved performance.,2020-04-24,2020
US10000215,Neural apparatus,A method and apparatus for improved performance.,2016-07-26,2016
US10000216,Wireless system,A method and apparatus for improved performance.,2018-05-10,2018
US10000217,Semiconductor system,A method and apparatus for improved performance.,2020-04-29,2020
US10000218,Neural network,A method and apparatus for improved performance.,2021-07-18,2021
US10000219,Quantum network,A method and apparatus for improved performance.,2021-06-23,2021
US10000220,Battery apparatus,A method and apparatus for improved performance.,2022-01-20,2022
US10000221,Semiconductor device,A method and apparatus for improved performance.,2022-11-09,2022
US10000222,Battery device,A method and apparatus for improved performance.,2019-08-19,2019
US10000223,Battery device,A method and apparatus for improved performance.,2015-09-13,2015
US10000224,Wireless method,A method and apparatus for improved performance.,2020-05-13,2020
US10000225,Wireless system,A method and apparatus for improved performance.,2018-11-03,2018
US10000226,Optical device,A method and apparatus for improved performance.,2021-11-03,2021
US10000227,Neural network,A method and apparatus for improved performance.,2018-05-04,2018
US10000228,Neural apparatus,A method and apparatus for improved performance.,2020-05-19,2020
US10000229,Optical system,A method and apparatus for improved performance.,2019-04-05,2019
US10000230,Optical network,A method and apparatus for improved performance.,2018-11-19,2018
US10000231,Wireless network,A method and apparatus for improved performance.,2018-01-15,2018
US10000232,Quantum circuit,A method and apparatus for improved performance.,2017-09-07,2017
US10000233,Neural network,A method and apparatus for improved performance.,2019-08-20,2019
US10000234,Quantum method,A method and apparatus for improved performance.,2021-03-04,2021
US10000235,Neural network,A method and apparatus for improved performance.,2018-08-08,2018
US10000236,Wireless network,A method and apparatus for improved performance.,2017-08-09,2017
US10000237,Semiconductor method,A method and apparatus for improved performance.,2016-12-21,2016
US10000238,Semiconductor circuit,A method and apparatus for improved performance.,2018-03-31,2018
US10000239,Optical network,A method and apparatus for improved performance.,2018-03-11,2018
US10000240,Neural device,A method and apparatus for improved performance.,2020-04-01,2020
US10000241,Neural network,A method and apparatus for improved performance.,2022-04-09,2022
US10000242,Battery device,A method and apparatus for improved performance.,2021-05-14,2021
US10000243,Optical apparatus,A method and apparatus for improved performance.,2019-07-19,2019
US10000244,Optical system,A method and apparatus for improved performance.,2016-07-29,2016
US10000245,Neural system,A method and apparatus for improved performance.,2020-01-04,2020
US10000246,Neural network,A method and apparatus for improved performance.,2022-05-01,2022
US10000247,Quantum method,A method and apparatus for improved performance.,2018-06-10,2018
US10000248,Neural system,A method and apparatus for improved performance.,2022-03-01,2022
US10000249,Optical network,A method and apparatus for improved performance.,2019-03-11,2019
US10000250,Quantum network,A method and apparatus for improved performance.,2017-06-13,2017
US10000251,Wireless circuit,A method and apparatus for improved performance.,2015-11-16,2015
US10000252,Wireless apparatus,A method and apparatus for improved performance.,2017-04-08,2017
US10000253,Semiconductor network,A method and apparatus for improved performance.,2019-12-15,2019
US10000254,Optical circuit,A method and apparatus for improved performance.,2020-09-21,2020
US10000255,Wireless method,A method and apparatus for improved performance.,2015-08-25,2015
US10000256,Wireless circuit,A method and apparatus for improved performance.,2017-06-11,2017
US10000257,Semiconductor circuit,A method and apparatus for improved performance.,2021-01-25,2021
US10000258,Battery network,A method and apparatus for improved performance.,2022-03-12,2022
US10000259,Semiconductor network,A method and apparatus for improved performance.,2019-03-19,2019
US10000260,Quantum apparatus,A method and apparatus for improved performance.,2016-04-30,2016
US10000261,Semiconductor system,A method and apparatus for improved performance.,2015-01-15,2015
US10000262,Quantum device,A method and apparatus for improved performance.,2019-04-03,2019
US10000263,Battery method,A method and apparatus for improved performance.,2015-05-12,2015
US10000264,Semiconductor method,A method and apparatus for improved performance.,2021-08-29,2021
US10000265,Optical device,A method and apparatus for improved performance.,2019-07-06,2019
US10000266,Quantum network,A method and apparatus for improved performance.,2018-03-30,2018
US10000267,Neural device,A method and apparatus for improved performance.,2017-08-28,2017
US10000268,Wireless network,A method and apparatus for improved performance.,2021-03-30,2021
US10000269,Semiconductor system,A method and apparatus for improved performance.,2020-07-23,2020
US10000270,Quantum system,A method and apparatus for improved performance.,2019-07-31,2019
US10000271,Neural network,A method and apparatus for improved performance.,2017-07-12,2017
US10000272,Optical method,A method and apparatus for improved performance.,2021-04-22,2021
US10000273,Battery circuit,A method and apparatus for improved performance.,2018-09-14,2018
US10000274,Neural method,A method and apparatus for improved performance.,2015-07-31,2015
US10000275,Wireless device,A method and apparatus for improved performance.,2022-07-13,2022
US10000276,Quantum network,A method and apparatus for improved performance.,2017-05-17,2017
US10000277,Quantum network,A method and apparatus for improved performance.,2020-05-15,2020
US10000278,Neural system,A method and apparatus for improved performance.,2021-03-11,2021
US10000279,Neural apparatus,A method and apparatus for improved performance.,2017-12-07,2017
US10000280,Neural device,A method and apparatus for improved performance.,2020-04-07,2020
US10000281,Semiconductor system,A method and apparatus for improved performance.,2016-08-20,2016
US10000282,Neural device,A method and apparatus for improved performance.,2017-03-14,2017
US10000283,Optical network,A method and apparatus for improved performance.,2017-11-20,2017
US10000284,Quantum network,A method and apparatus for improved performance.,2016-11-24,2016
US10000285,Wireless circuit,A method and apparatus for improved performance.,2015-08-29,2015
US10000286,Quantum network,A method and apparatus for improved performance.,2019-08-17,2019
US10000287,Wireless method,A method and apparatus for improved performance.,2017-06-14,2017
US10000288,Battery method,A method and apparatus for improved performance.,2020-06-02,2020
US10000289,Semiconductor apparatus,A method and apparatus for improved performance.,2015-02-18,2015
US10000290,Semiconductor circuit,A method and apparatus for improved performance.,2017-01-04,2017
US10000291,Neural method,A method and apparatus for improved performance.,2018-12-22,2018
US10000292,Wireless device,A method and apparatus for improved performance.,2020-02-24,2020
US10000293,Battery network,A method and apparatus for improved performance.,2015-11-27,2015
US10000294,Optical circuit,A method and apparatus for improved performance.,2021-03-13,2021
US10000295,Neural apparatus,A method and apparatus for improved performance.,2022-03-26,2022
US10000296,Quantum network,A method and apparatus for improved performance.,2017-07-30,2017
US10000297,Neural apparatus,A method and apparatus for improved performance.,2022-09-04,2022
US10000298,Semiconductor device,A method and apparatus for improved performance.,2018-07-12,2018
US10000299,Neural device,A method and apparatus for improved performance.,2015-11-12,2015
US10000300,Optical network,A method and apparatus for improved performance.,2018-09-20,2018
US10000301,Semiconductor circuit,A method and apparatus for improved performance.,2018-11-17,2018
US10000302,Optical system,A method and apparatus for improved performance.,2021-09-05,2021
US10000303,Quantum system,A method and apparatus for improved performance.,2020-07-02,2020
US10000304,Wireless system,A method and apparatus for improved performance.,2015-12-18,2015
US10000305,Optical network,A method and apparatus for improved performance.,2016-09-23,2016
US10000306,Semiconductor system,A method and apparatus for improved performance.,2016-01-10,2016
US10000307,Quantum method,A method and apparatus for improved performance.,2015-12-24,2015
US10000308,Neural apparatus,A method and apparatus for improved performance.,2016-01-03,2016
US10000309,Semiconductor system,A method and apparatus for improved performance.,2019-04-27,2019
US10000310,Wireless apparatus,A method and apparatus for improved performance.,2017-09-21,2017
US10000311,Neural system,A method and apparatus for improved performance.,2018-01-06,2018
US10000312,Neural method,A method and apparatus for improved performance.,2019-09-21,2019
US10000313,Optical apparatus,A method and apparatus for improved performance.,2022-01-04,2022
US10000314,Neural apparatus,A method and apparatus for improved performance.,2019-06-09,2019
US10000315,Neural system,A method and apparatus for improved performance.,2016-07-11,2016
US10000316,Neural network,A method and apparatus for improved performance.,2018-07-31,2018
US10000317,Neural method,A method and apparatus for improved performance.,2019-03-21,2019
US10000318,Battery apparatus,A method and apparatus for improved performance.,2017-01-06,2017
US10000319,Neural network,A method and apparatus for improved performance.,2019-12-01,2019
US10000320,Neural device,A method and apparatus for improved performance.,2022-02-07,2022
US10000321,Optical apparatus,A method and apparatus for improved performance.,2015-10-30,2015
US10000322,Semiconductor system,A method and apparatus for improved performance.,2021-02-04,2021
US10000323,Quantum network,A method and apparatus for improved performance.,2016-03-23,2016
US10000324,Battery network,A method and apparatus for improved performance.,2022-03-27,2022
US10000325,Semiconductor circuit,A method and apparatus for improved performance.,2019-10-30,2019
US10000326,Wireless network,A method and apparatus for improved performance.,2021-04-04,2021
US10000327,Wireless device,A method and apparatus for improved performance.,2022-09-29,2022
US10000328,Semiconductor network,A method and apparatus for improved performance.,2015-12-18,2015
US10000329,Wireless method,A method and apparatus for improved performance.,2017-04-27,2017
US10000330,Semiconductor system,A method and apparatus for improved performance.,2018-07-30,2018
US10000331,Semiconductor network,A method and apparatus for improved performance.,2022-04-08,2022
US10000332,Quantum system,A method and apparatus for improved performance.,2021-03-10,2021
US10000333,Battery network,A method and apparatus for improved performance.,2017-02-02,2017
US10000334,Wireless method,A method and apparatus for improved performance.,2020-01-16,2020
US10000335,Semiconductor apparatus,A method and apparatus for improved performance.,2022-11-22,2022
US10000336,Optical circuit,A method and apparatus for improved performance.,2017-03-18,2017
US10000337,Optical apparatus,A method and apparatus for improved performance.,2021-09-11,2021
US10000338,Quantum network,A method and apparatus for improved performance.,2021-12-03,2021
US10000339,Semiconductor device,A method and apparatus for improved performance.,2018-07-06,2018
US10000340,Optical method,A method and apparatus for improved performance.,2020-09-23,2020
US10000341,Wireless network,A method and apparatus for improved performance.,2022-02-16,2022
US10000342,Neural method,A method and apparatus for improved performance.,2017-02-05,2017
US10000343,Wireless apparatus,A method and apparatus for improved performance.,2019-04-22,2019
US10000344,Quantum circuit,A method and apparatus for improved performance.,2020-06-24,2020
US10000345,Wireless system,A method and apparatus for improved performance.,2017-07-09,2017
US10000346,Wireless circuit,A method and apparatus for improved performance.,2021-03-01,2021
US10000347,Semiconductor network,A method and apparatus for improved performance.,2021-01-29,2021
US10000348,Battery network,A method and apparatus for improved performance.,2016-02-24,2016
US10000349,Optical system,A method and apparatus for improved performance.,2015-05-13,2015
US10000350,Quantum device,A method and apparatus for improved performance.,2016-04-25,2016
US10000351,Battery method,A method and apparatus for improved performance.,2021-11-04,2021
US10000352,Semiconductor apparatus,A method and apparatus for improved performance.,2017-04-27,2017
US10000353,Battery system,A method and apparatus for improved performance.,2018-08-18,2018
US10000354,Battery circuit,A method and apparatus for improved performance.,2020-10-08,2020
US10000355,Battery device,A method and apparatus for improved performance.,2018-02-09,2018
US10000356,Optical method,A method and apparatus for improved performance.,2022-08-01,2022
US10000357,Optical circuit,A method and apparatus for improved performance.,2019-03-17,2019
US10000358,Neural method,A method and apparatus for improved performance.,2022-10-16,2022
US10000359,Battery network,A method and apparatus for improved performance.,2020-02-21,2020
US10000360,Optical system,A method and apparatus for improved performance.,2017-05-17,2017
US10000361,Optical system,A method and apparatus for improved performance.,2021-05-07,2021
US10000362,Semiconductor device,A method and apparatus for improved performance.,2015-03-08,2015
US10000363,Quantum network,A method and apparatus for improved performance.,2019-10-19,2019
US10000364,Battery system,A method and apparatus for improved performance.,2016-01-18,2016
US10000365,Optical network,A method and apparatus for improved performance.,2015-08-01,2015
US10000366,Semiconductor network,A method and apparatus for improved performance.,2022-05-08,2022
US10000367,Wireless device,A method and apparatus for improved performance.,2016-06-27,2016
US10000368,Optical network,A method and apparatus for improved performance.,2016-05-08,2016
US10000369,Battery circuit,A method and apparatus for improved performance.,2016-01-01,2016
US10000370,Optical device,A method and apparatus for improved performance.,2016-07-15,2016
US10000371,Battery device,A method and apparatus for improved performance.,2021-11-04,2021
US10000372,Wireless network,A method and apparatus for improved performance.,2019-08-14,2019
US10000373,Semiconductor apparatus,A method and apparatus for improved performance.,2016-07-27,2016
US10000374,Neural network,A method and apparatus for improved performance.,2017-10-11,2017
US10000375,Neural network,A method and apparatus for improved performance.,2021-10-24,2021
US10000376,Wireless apparatus,A method and apparatus for improved performance.,2017-04-21,2017
US10000377,Optical method,A method and apparatus for improved performance.,2017-09-07,2017
US10000378,Wireless circuit,A method and apparatus for improved performance.,2015-10-18,2015
US10000379,Neural apparatus,A method and apparatus for improved performance.,2019-09-20,2019
US10000380,Semiconductor apparatus,A method and apparatus for improved performance.,2015-10-26,2015
US10000381,Optical apparatus,A method and apparatus for improved performance.,2015-09-05,2015
US10000382,Battery method,A method and apparatus for improved performance.,2019-10-01,2019
US10000383,Neural circuit,A method and apparatus for improved performance.,2016-09-17,2016
US10000384,Wireless system,A method and apparatus for improved performance.,2016-09-28,2016
US10000385,Battery method,A method and apparatus for improved performance.,2018-06-24,2018
US10000386,Optical apparatus,A method and apparatus for improved performance.,2016-04-20,2016
US10000387,Semiconductor network,A method and apparatus for improved performance.,2016-05-04,2016
US10000388,Wireless apparatus,A method and apparatus for improved performance.,2018-11-21,2018
US10000389,Semiconductor system,A method and apparatus for improved performance.,2016-04-28,2016
US10000390,Semiconductor method,A method and apparatus for improved performance.,2022-01-14,2022
US10000391,Neural device,A method and apparatus for improved performance.,2016-11-14,2016
US10000392,Battery circuit,A method and apparatus for improved performance.,2022-07-24,2022
US10000393,Quantum circuit,A method and apparatus for improved performance.,2015-02-20,2015
