patent_id,inventor_id
US10000095,inv-00068
US10000096,inv-00122
US10000097,inv-00129
US10000097,inv-00057
US10000098,inv-00078
US10000098,inv-00118
US10000098,inv-00165
US10000099,inv-00176
US10000099,inv-00028
US10000100,inv-00038
US10000100,inv-00017
US10000100,inv-00033
US10000101,inv-00153
US10000101,inv-00136
US10000102,inv-00030
US10000102,inv-00168
US10000102,inv-00167
US10000103,inv-00116
US10000103,inv-00059
US10000104,inv-00081
US10000105,inv-00018
US10000105,inv-00024
US10000106,inv-00190
US10000106,inv-00096
US10000106,inv-00034
US10000107,inv-00032
US10000107,inv-00106
US10000107,inv-00091
US10000108,inv-00154
US10000108,inv-00080
US10000109,inv-00124
US10000109,inv-00058
US10000109,inv-00028
US10000110,inv-00058
US10000110,inv-00110
US10000110,inv-00144
US10000111,inv-00143
US10000111,inv-00007
US10000111,inv-00156
US10000112,inv-00070
US10000113,inv-00037
US10000114,inv-00008
US10000114,inv-00024
US10000114,inv-00192
US10000115,inv-00095
US10000116,inv-00040
US10000117,inv-00114
US10000117,inv-00170
US10000118,inv-00194
US10000119,inv-00174
US10000119,inv-00152
US10000119,inv-00125
US10000120,inv-00015
US10000120,inv-00002
US10000120,inv-00053
US10000121,inv-00031
US10000121,inv-00002
US10000122,inv-00181
US10000122,inv-00059
US10000122,inv-00129
US10000123,inv-00112
US10000124,inv-00104
US10000124,inv-00182
US10000124,inv-00164
US10000125,inv-00159
US10000126,inv-00112
US10000127,inv-00087
US10000127,inv-00057
US10000127,inv-00086
US10000128,inv-00131
US10000128,inv-00050
US10000128,inv-00199
US10000129,inv-00051
US10000129,inv-00045
US10000130,inv-00194
US10000130,inv-00145
US10000131,inv-00160
US10000131,inv-00083
US10000131,inv-00161
US10000132,inv-00078
US10000132,inv-00071
US10000132,inv-00152
US10000133,inv-00010
US10000133,inv-00015
US10000134,inv-00153
US10000134,inv-00130
US10000134,inv-00099
US10000135,inv-00049
US10000135,inv-00083
US10000135,inv-00155
US10000136,inv-00183
US10000136,inv-00022
US10000137,inv-00113
US10000137,inv-00135
US10000138,inv-00105
US10000138,inv-00199
US10000139,inv-00017
US10000139,inv-00085
US10000140,inv-00155
US10000140,inv-00039
US10000140,inv-00086
US10000141,inv-00170
US10000141,inv-00101
US10000141,inv-00034
US10000142,inv-00085
US10000142,inv-00033
US10000142,inv-00172
US10000143,inv-00131
US10000143,inv-00093
US10000144,inv-00050
US10000144,inv-00058
US10000145,inv-00130
US10000146,inv-00034
US10000146,inv-00153
US10000146,inv-00097
US10000147,inv-00113
US10000147,inv-00012
US10000147,inv-00106
US10000148,inv-00115
US10000148,inv-00060
US10000148,inv-00137
US10000149,inv-00113
US10000149,inv-00119
US10000149,inv-00197
US10000150,inv-00052
US10000151,inv-00124
US10000151,inv-00096
US10000151,inv-00142
US10000152,inv-00022
US10000152,inv-00196
US10000153,inv-00057
US10000154,inv-00102
US10000155,inv-00008
US10000156,inv-00010
US10000157,inv-00115
US10000157,inv-00158
US10000158,inv-00141
US10000159,inv-00199
US10000160,inv-00164
US10000160,inv-00160
US10000161,inv-00162
US10000162,inv-00158
US10000163,inv-00022
US10000163,inv-00135
US10000163,inv-00093
US10000164,inv-00006
US10000164,inv-00100
US10000164,inv-00121
US10000165,inv-00092
US10000166,inv-00027
US10000166,inv-00198
US10000166,inv-00149
US10000167,inv-00087
US10000167,inv-00165
US10000167,inv-00045
US10000168,inv-00162
US10000168,inv-00047
US10000169,inv-00076
US10000170,inv-00102
US10000170,inv-00140
US10000170,inv-00122
US10000171,inv-00085
US10000171,inv-00070
US10000171,inv-00032
US10000172,inv-00087
US10000172,inv-00048
US10000173,inv-00187
US10000174,inv-00083
US10000174,inv-00027
US10000175,inv-00110
US10000175,inv-00043
US10000175,inv-00177
US10000176,inv-00112
US10000176,inv-00071
US10000176,inv-00164
US10000177,inv-00104
US10000177,inv-00094
US10000177,inv-00132
US10000178,inv-00156
US10000179,inv-00200
US10000180,inv-00040
US10000180,inv-00174
US10000180,inv-00116
US10000181,inv-00036
US10000181,inv-00136
US10000181,inv-00094
US10000182,inv-00048
US10000182,inv-00128
US10000182,inv-00133
US10000183,inv-00115
US10000183,inv-00055
US10000183,inv-00157
US10000184,inv-00116
US10000185,inv-00089
US10000185,inv-00182
US10000185,inv-00017
US10000186,inv-00180
US10000186,inv-00164
US10000186,inv-00045
US10000187,inv-00061
US10000188,inv-00120
US10000188,inv-00142
US10000189,inv-00185
US10000189,inv-00123
US10000189,inv-00135
US10000190,inv-00165
US10000190,inv-00019
US10000191,inv-00151
US10000191,inv-00047
US10000191,inv-00197
US10000192,inv-00133
US10000193,inv-00089
US10000194,inv-00051
US10000194,inv-00163
US10000195,inv-00158
US10000195,inv-00137
US10000196,inv-00169
US10000197,inv-00021
US10000198,inv-00107
US10000198,inv-00159
US10000198,inv-00164
US10000199,inv-00063
US10000199,inv-00176
US10000200,inv-00113
US10000201,inv-00081
US10000202,inv-00034
US10000202,inv-00195
US10000203,inv-00032
US10000203,inv-00069
US10000204,inv-00158
US10000204,inv-00108
US10000205,inv-00049
US10000205,inv-00196
US10000206,inv-00006
US10000206,inv-00024
US10000207,inv-00150
US10000208,inv-00173
US10000208,inv-00121
US10000208,inv-00074
US10000209,inv-00094
US10000209,inv-00196
US10000209,inv-00104
US10000210,inv-00093
US10000211,inv-00072
US10000211,inv-00160
US10000211,inv-00175
US10000212,inv-00143
US10000212,inv-00094
US10000213,inv-00011
US10000213,inv-00012
US10000213,inv-00010
US10000214,inv-00156
US10000215,inv-00042
US10000215,inv-00101
US10000216,inv-00131
US10000216,inv-00137
US10000216,inv-00126
US10000217,inv-00173
US10000217,inv-00029
US10000218,inv-00162
US10000218,inv-00007
US10000218,inv-00153
US10000219,inv-00150
US10000220,inv-00038
US10000220,inv-00175
US10000221,inv-00113
US10000222,inv-00129
US10000222,inv-00199
US10000223,inv-00054
US10000223,inv-00144
US10000223,inv-00084
US10000224,inv-00045
US10000224,inv-00118
US10000225,inv-00198
US10000225,inv-00185
US10000225,inv-00175
US10000226,inv-00072
US10000227,inv-00177
US10000228,inv-00071
US10000228,inv-00074
US10000228,inv-00032
US10000229,inv-00075
US10000230,inv-00192
US10000230,inv-00123
US10000231,inv-00036
US10000231,inv-00028
US10000232,inv-00136
US10000232,inv-00058
US10000232,inv-00164
US10000233,inv-00026
US10000233,inv-00175
US10000234,inv-00122
US10000234,inv-00123
US10000234,inv-00167
US10000235,inv-00197
US10000236,inv-00010
US10000236,inv-00045
US10000236,inv-00107
US10000237,inv-00048
US10000237,inv-00192
US10000238,inv-00146
US10000238,inv-00155
US10000239,inv-00135
US10000239,inv-00127
US10000239,inv-00035
US10000240,inv-00085
US10000241,inv-00004
US10000242,inv-00157
US10000243,inv-00023
US10000243,inv-00103
US10000244,inv-00002
US10000245,inv-00150
US10000245,inv-00186
US10000246,inv-00016
US10000247,inv-00129
US10000247,inv-00181
US10000247,inv-00198
US10000248,inv-00057
US10000248,inv-00035
US10000248,inv-00123
US10000249,inv-00121
US10000249,inv-00194
US10000249,inv-00138
US10000250,inv-00021
US10000250,inv-00135
US10000250,inv-00115
US10000251,inv-00141
US10000252,inv-00043
US10000253,inv-00184
US10000254,inv-00034
US10000254,inv-00132
US10000255,inv-00079
US10000255,inv-00186
US10000255,inv-00006
US10000256,inv-00109
US10000257,inv-00009
US10000257,inv-00074
US10000258,inv-00096
US10000258,inv-00098
US10000259,inv-00139
US10000259,inv-00035
US10000259,inv-00168
US10000260,inv-00136
US10000260,inv-00033
US10000261,inv-00173
US10000261,inv-00185
US10000262,inv-00089
US10000262,inv-00040
US10000263,inv-00197
US10000263,inv-00005
US10000263,inv-00062
US10000264,inv-00173
US10000264,inv-00181
US10000264,inv-00013
US10000265,inv-00056
US10000265,inv-00194
US10000265,inv-00199
US10000266,inv-00082
US10000266,inv-00148
US10000266,inv-00154
US10000267,inv-00134
US10000267,inv-00057
US10000267,inv-00106
US10000268,inv-00161
US10000269,inv-00172
US10000269,inv-00098
US10000269,inv-00135
US10000270,inv-00048
US10000270,inv-00194
US10000271,inv-00119
US10000272,inv-00136
US10000272,inv-00035
US10000272,inv-00100
US10000273,inv-00095
US10000273,inv-00024
US10000274,inv-00155
US10000274,inv-00011
US10000274,inv-00019
US10000275,inv-00054
US10000275,inv-00086
US10000276,inv-00192
US10000277,inv-00181
US10000277,inv-00053
US10000277,inv-00102
US10000278,inv-00120
US10000278,inv-00137
US10000279,inv-00120
US10000279,inv-00026
US10000280,inv-00081
US10000280,inv-00106
US10000281,inv-00150
US10000281,inv-00149
US10000281,inv-00185
US10000282,inv-00146
US10000282,inv-00063
US10000283,inv-00190
US10000283,inv-00126
US10000283,inv-00118
US10000284,inv-00126
US10000284,inv-00048
US10000284,inv-00139
US10000285,inv-00172
US10000286,inv-00018
US10000287,inv-00016
US10000287,inv-00159
US10000288,inv-00002
US10000289,inv-00071
US10000289,inv-00138
US10000289,inv-00074
US10000290,inv-00039
US10000290,inv-00062
US10000290,inv-00050
US10000291,inv-00096
US10000292,inv-00058
US10000292,inv-00077
US10000292,inv-00176
US10000293,inv-00024
US10000294,inv-00003
US10000294,inv-00180
US10000294,inv-00044
US10000295,inv-00136
US10000296,inv-00122
US10000296,inv-00070
US10000296,inv-00012
US10000297,inv-00169
US10000297,inv-00009
US10000297,inv-00046
US10000298,inv-00037
US10000298,inv-00193
US10000298,inv-00183
US10000299,inv-00062
US10000299,inv-00146
US10000299,inv-00100
US10000300,inv-00177
US10000301,inv-00060
US10000301,inv-00020
US10000302,inv-00163
US10000303,inv-00097
US10000303,inv-00111
US10000303,inv-00048
US10000304,inv-00183
US10000305,inv-00040
US10000305,inv-00190
US10000305,inv-00100
US10000306,inv-00093
US10000306,inv-00195
US10000307,inv-00143
US10000307,inv-00132
US10000308,inv-00153
US10000309,inv-00100
US10000309,inv-00200
US10000310,inv-00176
US10000311,inv-00038
US10000311,inv-00017
US10000312,inv-00093
US10000313,inv-00051
US10000313,inv-00118
US10000313,inv-00028
US10000314,inv-00085
US10000314,inv-00113
US10000315,inv-00178
US10000315,inv-00052
US10000315,inv-00123
US10000316,inv-00163
US10000316,inv-00126
US10000316,inv-00148
US10000317,inv-00030
US10000317,inv-00145
US10000318,inv-00187
US10000319,inv-00105
US10000320,inv-00169
US10000320,inv-00040
US10000321,inv-00150
US10000321,inv-00103
US10000322,inv-00138
US10000322,inv-00153
US10000322,inv-00164
US10000323,inv-00091
US10000323,inv-00043
US10000323,inv-00166
US10000324,inv-00193
US10000324,inv-00085
US10000325,inv-00067
US10000326,inv-00057
US10000326,inv-00115
US10000326,inv-00096
US10000327,inv-00007
US10000327,inv-00124
US10000328,inv-00090
US10000329,inv-00122
US10000329,inv-00025
US10000330,inv-00182
US10000331,inv-00190
US10000332,inv-00110
US10000332,inv-00119
US10000332,inv-00060
US10000333,inv-00102
US10000333,inv-00008
US10000334,inv-00002
US10000334,inv-00181
US10000335,inv-00138
US10000336,inv-00172
US10000336,inv-00126
US10000337,inv-00151
US10000337,inv-00030
US10000338,inv-00077
US10000338,inv-00158
US10000338,inv-00152
US10000339,inv-00030
US10000339,inv-00047
US10000340,inv-00036
US10000340,inv-00148
US10000340,inv-00099
US10000341,inv-00045
US10000341,inv-00143
US10000341,inv-00043
US10000342,inv-00014
US10000342,inv-00092
US10000342,inv-00003
US10000343,inv-00127
US10000343,inv-00105
US10000343,inv-00176
US10000344,inv-00008
US10000344,inv-00195
US10000344,inv-00057
US10000345,inv-00200
US10000346,inv-00030
US10000346,inv-00069
US10000346,inv-00199
US10000347,inv-00140
US10000347,inv-00056
US10000348,inv-00077
US10000349,inv-00023
US10000349,inv-00113
US10000350,inv-00151
US10000350,inv-00177
US10000350,inv-00090
US10000351,inv-00158
US10000352,inv-00137
US10000352,inv-00072
US10000353,inv-00147
US10000353,inv-00069
US10000354,inv-00193
US10000355,inv-00034
US10000355,inv-00064
US10000355,inv-00038
US10000356,inv-00148
US10000357,inv-00197
US10000357,inv-00024
US10000357,inv-00104
US10000358,inv-00084
US10000358,inv-00149
US10000359,inv-00092
US10000359,inv-00017
US10000359,inv-00137
US10000360,inv-00073
US10000360,inv-00087
US10000361,inv-00196
US10000361,inv-00013
US10000361,inv-00012
US10000362,inv-00117
US10000362,inv-00001
US10000363,inv-00167
US10000364,inv-00022
US10000364,inv-00096
US10000365,inv-00186
US10000365,inv-00180
US10000366,inv-00001
US10000367,inv-00175
US10000367,inv-00114
US10000367,inv-00003
US10000368,inv-00123
US10000369,inv-00081
US10000370,inv-00174
US10000370,inv-00037
US10000370,inv-00018
US10000371,inv-00090
US10000371,inv-00185
US10000372,inv-00056
US10000372,inv-00023
US10000373,inv-00099
US10000373,inv-00090
US10000373,inv-00110
US10000374,inv-00064
US10000375,inv-00169
US10000376,inv-00049
US10000376,inv-00192
US10000376,inv-00101
US10000377,inv-00062
US10000378,inv-00082
US10000378,inv-00034
US10000379,inv-00045
US10000379,inv-00196
US10000379,inv-00121
US10000380,inv-00004
US10000381,inv-00161
US10000381,inv-00183
US10000382,inv-00164
US10000383,inv-00021
US10000383,inv-00131
US10000384,inv-00151
US10000384,inv-00163
US10000385,inv-00062
US10000385,inv-00015
US10000385,inv-00063
US10000386,inv-00015
US10000386,inv-00080
US10000386,inv-00171
US10000387,inv-00180
US10000388,inv-00067
US10000388,inv-00043
US10000388,inv-00096
US10000389,inv-00070
US10000389,inv-00135
US10000390,inv-00131
US10000390,inv-00093
US10000391,inv-00198
US10000391,inv-00027
US10000392,inv-00190
US10000393,inv-00094
US10000393,inv-00099
US10000394,inv-00190
US10000394,inv-00168
US10000394,inv-00108
US10000395,inv-00020
US10000395,inv-00147
US10000396,inv-00133
US10000397,inv-00199
US10000397,inv-00080
US10000398,inv-00075
US10000399,inv-00152
US10000399,inv-00127
US10000400,inv-00039
US10000401,inv-00163
US10000401,inv-00178
US10000402,inv-00189
US10000402,inv-00187
US10000403,inv-00016
US10000403,inv-00037
US10000404,inv-00180
US10000404,inv-00096
US10000405,inv-00164
US10000406,inv-00112
US10000407,inv-00101
US10000407,inv-00180
US10000408,inv-00060
US10000408,inv-00020
US10000409,inv-00028
US10000410,inv-00092
US10000410,inv-00198
US10000410,inv-00054
US10000411,inv-00176
US10000412,inv-00024
US10000413,inv-00077
US10000413,inv-00067
US10000413,inv-00045
US10000414,inv-00064
US10000414,inv-00025
US10000414,inv-00119
US10000415,inv-00034
US10000416,inv-00022
US10000416,inv-00150
US10000416,inv-00151
US10000417,inv-00114
US10000417,inv-00033
US10000417,inv-00024
US10000418,inv-00013
US10000418,inv-00044
US10000419,inv-00008
US10000419,inv-00098
US10000420,inv-00072
US10000420,inv-00115
US10000421,inv-00063
US10000421,inv-00166
US10000421,inv-00076
US10000422,inv-00099
US10000422,inv-00036
US10000423,inv-00098
US10000424,inv-00145
US10000424,inv-00129
US10000425,inv-00057
US10000425,inv-00008
US10000425,inv-00200
US10000426,inv-00041
US10000427,inv-00196
US10000428,inv-00045
US10000428,inv-00046
US10000429,inv-00181
US10000430,inv-00127
US10000431,inv-00060
US10000432,inv-00158
US10000432,inv-00052
US10000433,inv-00016
US10000433,inv-00006
US10000434,inv-00096
US10000435,inv-00083
US10000435,inv-00035
US10000436,inv-00082
US10000436,inv-00045
US10000436,inv-00182
US10000437,inv-00171
US10000438,inv-00076
US10000438,inv-00033
US10000438,inv-00046
US10000439,inv-00155
US10000440,inv-00128
US10000441,inv-00163
US10000442,inv-00187
US10000442,inv-00086
US10000442,inv-00115
US10000443,inv-00066
US10000443,inv-00028
US10000444,inv-00043
US10000444,inv-00106
US10000445,inv-00123
US10000446,inv-00116
US10000447,inv-00027
US10000447,inv-00019
US10000448,inv-00024
US10000448,inv-00087
US10000448,inv-00153
US10000449,inv-00168
US10000449,inv-00043
US10000450,inv-00053
US10000450,inv-00049
US10000451,inv-00077
US10000451,inv-00061
US10000452,inv-00014
US10000453,inv-00154
US10000453,inv-00123
US10000453,inv-00052
US10000454,inv-00122
US10000455,inv-00170
US10000455,inv-00068
US10000456,inv-00095
US10000456,inv-00048
US10000457,inv-00069
US10000458,inv-00172
US10000459,inv-00016
US10000459,inv-00100
US10000459,inv-00134
US10000460,inv-00122
US10000461,inv-00147
US10000461,inv-00174
US10000461,inv-00159
US10000462,inv-00033
US10000463,inv-00038
US10000463,inv-00153
US10000463,inv-00067
US10000464,inv-00142
US10000464,inv-00084
US10000465,inv-00160
US10000465,inv-00151
US10000465,inv-00134
US10000466,inv-00151
US10000466,inv-00150
US10000466,inv-00195
US10000467,inv-00074
US10000468,inv-00168
US10000468,inv-00125
US10000469,inv-00037
US10000469,inv-00159
US10000470,inv-00061
US10000470,inv-00013
US10000470,inv-00191
US10000471,inv-00080
US10000471,inv-00072
US10000472,inv-00035
US10000473,inv-00155
US10000473,inv-00166
US10000474,inv-00195
US10000474,inv-00133
US10000475,inv-00080
US10000476,inv-00045
US10000477,inv-00013
US10000477,inv-00093
US10000478,inv-00163
US10000478,inv-00032
US10000479,inv-00046
US10000479,inv-00122
US10000480,inv-00177
US10000480,inv-00024
US10000480,inv-00073
US10000481,inv-00166
US10000482,inv-00006
US10000482,inv-00200
US10000482,inv-00197
US10000483,inv-00003
US10000483,inv-00058
US10000483,inv-00065
US10000484,inv-00109
US10000484,inv-00097
US10000485,inv-00078
US10000485,inv-00174
US10000486,inv-00131
US10000487,inv-00156
US10000487,inv-00073
US10000487,inv-00077
US10000488,inv-00084
US10000488,inv-00071
US10000488,inv-00067
US10000489,inv-00015
US10000490,inv-00175
US10000490,inv-00036
US10000491,inv-00100
US10000491,inv-00189
US10000492,inv-00057
US10000492,inv-00176
US10000492,inv-00137
US10000493,inv-00044
US10000493,inv-00169
US10000494,inv-00033
US10000494,inv-00190
US10000495,inv-00023
US10000495,inv-00057
US10000495,inv-00091
US10000496,inv-00150
US10000496,inv-00076
US10000497,inv-00149
US10000497,inv-00159
US10000497,inv-00019
US10000498,inv-00136
US10000498,inv-00077
US10000499,inv-00146
US10000499,inv-00118
US10000500,inv-00046
US10000500,inv-00081
US10000500,inv-00163
