inventor_id,name,country
inv-00111,Priya Garcia,US
inv-00112,James Zhang,CN
inv-00113,Priya Smith,US
inv-00114,Yuki Patel,US
inv-00115,Chen Garcia,CN
inv-00116,Maria Smith,US
inv-00117,Yuki Garcia,US
inv-00118,Ali Johnson,CN
inv-00119,Sofia Tanaka,US
inv-00120,Ali Smith,KR
inv-00121,Hans Mueller,CN
inv-00122,Ali Garcia,KR
inv-00123,Sofia Johnson,JP
inv-00124,Hans Tanaka,TW
inv-00125,Yuki Rossi,US
inv-00126,Ali Rossi,JP
inv-00127,Hans Patel,US
inv-00128,Wei Rossi,KR
inv-00129,Chen Mueller,US
inv-00130,Chen Hassan,US
inv-00131,Hans Mueller,US
inv-00132,Hans Rossi,US
inv-00133,Wei Patel,US
inv-00134,Maria Rossi,CN
inv-00135,Maria Hassan,FR
inv-00136,Wei Patel,US
inv-00137,Priya Smith,US
inv-00138,Sofia Hassan,CN
inv-00139,Ali Rossi,CN
inv-00140,Maria Zhang,US
inv-00141,David Mueller,US
inv-00142,Sofia Smith,US
inv-00143,Maria Mueller,US
inv-00144,Wei Hassan,CN
inv-00145,Wei Patel,US
inv-00146,Sofia Hassan,US
inv-00147,Priya Garcia,US
inv-00148,Sofia Rossi,CN
inv-00149,Yuki Johnson,CN
inv-00150,Sofia Garcia,DE
inv-00151,Priya Patel,US
inv-00152,David Johnson,CN
inv-00153,Chen Wang,US
inv-00154,Hans Garcia,US
inv-00155,Yuki Zhang,US
inv-00156,David Hassan,US
inv-00157,Hans Patel,US
inv-00158,Hans Tanaka,US
inv-00159,Hans Wang,CN
inv-00160,Wei Wang,US
inv-00161,David Mueller,CN
inv-00162,Sofia Wang,US
inv-00163,Yuki Smith,KR
inv-00164,Wei Rossi,US
inv-00165,Maria Wang,US
inv-00166,Hans Zhang,US
inv-00167,Chen Garcia,UG
inv-00168,David Hassan,CA
inv-00169,Chen Johnson,DE
inv-00170,Maria Rossi,DE
inv-00171,Maria Wang,KR
inv-00172,Chen Wang,US
inv-00173,Hans Patel,JP
inv-00174,Maria Wang,CN
inv-00175,Priya Wang,US
inv-00176,Priya Mueller,US
inv-00177,Ali Garcia,US
inv-00178,Yuki Mueller,US
inv-00179,Yuki Mueller,US
inv-00180,Sofia Hassan,US
inv-00181,Sofia Smith,US
inv-00182,Sofia Rossi,GB
inv-00183,David Smith,DE
inv-00184,David Rossi,US
inv-00185,Ali Patel,JP
inv-00186,Sofia Garcia,JP
inv-00187,Maria Johnson,KR
inv-00188,Chen Mueller,US
inv-00189,Chen Smith,US
inv-00190,Sofia Tanaka,DE
inv-00191,Yuki Johnson,US
inv-00192,Sofia Johnson,CN
inv-00193,James Zhang,CN
inv-00194,Yuki Wang,US
inv-00195,Priya Rossi,US
inv-00196,Chen Hassan,US
inv-00197,Sofia Patel,JP
inv-00198,Sofia Patel,DE
inv-00199,Chen Smith,JP
inv-00200,James Hassan,US
