patent_id,company_id
US10000127,asgn-0002
US10000128,asgn-0003
US10000129,asgn-0002
US10000130,asgn-0008
US10000131,asgn-0008
US10000132,asgn-0009
US10000133,asgn-0005
US10000134,asgn-0009
US10000135,asgn-0003
US10000136,asgn-0003
US10000137,asgn-0003
US10000138,asgn-0010
US10000139,asgn-0007
US10000140,asgn-0003
US10000141,asgn-0002
US10000142,asgn-0009
US10000143,asgn-0005
US10000145,asgn-0009
US10000146,asgn-0003
US10000147,asgn-0004
US10000148,asgn-0008
US10000149,asgn-0007
US10000152,asgn-0008
US10000154,asgn-0004
US10000155,asgn-0002
US10000156,asgn-0008
US10000157,asgn-0002
US10000159,asgn-0005
US10000160,asgn-0002
US10000161,asgn-0004
US10000162,asgn-0010
US10000163,asgn-0009
US10000164,asgn-0007
US10000165,asgn-0006
US10000166,asgn-0006
US10000169,asgn-0004
US10000170,asgn-0004
US10000171,asgn-0007
US10000172,asgn-0008
US10000173,asgn-0007
US10000174,asgn-0005
US10000175,asgn-0008
US10000178,asgn-0008
US10000179,asgn-0006
US10000181,asgn-0005
US10000182,asgn-0009
US10000183,asgn-0008
US10000184,asgn-0008
US10000185,asgn-0005
US10000186,asgn-0009
US10000187,asgn-0001
US10000188,asgn-0002
US10000189,asgn-0007
US10000190,asgn-0009
US10000192,asgn-0003
US10000195,asgn-0003
US10000196,asgn-0010
US10000197,asgn-0010
US10000198,asgn-0009
US10000199,asgn-0008
US10000200,asgn-0008
US10000202,asgn-0009
US10000203,asgn-0003
US10000204,asgn-0003
US10000205,asgn-0009
US10000207,asgn-0001
US10000208,asgn-0002
US10000209,asgn-0007
US10000210,asgn-0002
US10000211,asgn-0003
US10000212,asgn-0004
US10000213,asgn-0006
US10000216,asgn-0005
US10000218,asgn-0010
US10000219,asgn-0009
US10000220,asgn-0010
US10000221,asgn-0003
US10000222,asgn-0008
US10000225,asgn-0005
US10000226,asgn-0004
US10000227,asgn-0006
US10000228,asgn-0009
US10000229,asgn-0002
US10000230,asgn-0009
US10000231,asgn-0010
US10000232,asgn-0002
US10000233,asgn-0001
US10000234,asgn-0005
US10000235,asgn-0010
US10000238,asgn-0006
US10000240,asgn-0008
US10000241,asgn-0005
US10000243,asgn-0003
US10000244,asgn-0004
US10000245,asgn-0005
US10000246,asgn-0008
US10000247,asgn-0002
US10000248,asgn-0010
US10000250,asgn-0006
US10000252,asgn-0009
US10000253,asgn-0002
US10000254,asgn-0010
US10000255,asgn-0001
US10000256,asgn-0002
US10000257,asgn-0003
US10000258,asgn-0007
US10000260,asgn-0004
US10000261,asgn-0009
US10000262,asgn-0002
US10000263,asgn-0002
US10000264,asgn-0001
US10000265,asgn-0009
US10000266,asgn-0006
US10000267,asgn-0001
US10000268,asgn-0009
US10000269,asgn-0007
US10000270,asgn-0004
US10000272,asgn-0004
US10000273,asgn-0004
US10000274,asgn-0010
US10000275,asgn-0001
US10000278,asgn-0005
US10000280,asgn-0004
US10000281,asgn-0003
US10000282,asgn-0006
US10000283,asgn-0006
US10000285,asgn-0001
US10000286,asgn-0001
US10000287,asgn-0010
US10000288,asgn-0007
US10000289,asgn-0007
US10000290,asgn-0005
US10000293,asgn-0007
US10000294,asgn-0007
US10000299,asgn-0009
US10000300,asgn-0009
US10000301,asgn-0010
US10000302,asgn-0008
US10000303,asgn-0007
US10000304,asgn-0005
US10000305,asgn-0002
US10000306,asgn-0003
US10000307,asgn-0001
US10000308,asgn-0006
US10000309,asgn-0009
US10000310,asgn-0003
US10000311,asgn-0005
US10000312,asgn-0004
US10000313,asgn-0001
US10000314,asgn-0010
US10000315,asgn-0007
US10000316,asgn-0006
US10000317,asgn-0009
US10000318,asgn-0004
US10000319,asgn-0003
US10000320,asgn-0007
US10000321,asgn-0007
US10000323,asgn-0010
US10000325,asgn-0009
US10000326,asgn-0010
US10000327,asgn-0007
US10000328,asgn-0008
US10000329,asgn-0008
US10000330,asgn-0006
US10000331,asgn-0003
US10000332,asgn-0003
US10000333,asgn-0004
US10000334,asgn-0005
US10000335,asgn-0006
US10000336,asgn-0006
US10000337,asgn-0008
US10000338,asgn-0003
US10000339,asgn-0003
US10000340,asgn-0008
US10000341,asgn-0003
US10000342,asgn-0004
US10000343,asgn-0008
US10000344,asgn-0005
US10000345,asgn-0008
US10000346,asgn-0006
US10000351,asgn-0004
US10000352,asgn-0003
US10000354,asgn-0001
US10000355,asgn-0004
US10000356,asgn-0007
US10000357,asgn-0005
US10000358,asgn-0002
US10000359,asgn-0007
US10000360,asgn-0003
US10000361,asgn-0008
US10000363,asgn-0005
US10000364,asgn-0003
US10000365,asgn-0007
US10000366,asgn-0002
US10000367,asgn-0006
US10000368,asgn-0007
US10000369,asgn-0005
US10000370,asgn-0001
US10000371,asgn-0003
US10000373,asgn-0003
US10000374,asgn-0010
US10000376,asgn-0001
US10000377,asgn-0010
US10000378,asgn-0010
US10000380,asgn-0001
US10000381,asgn-0007
US10000382,asgn-0010
US10000384,asgn-0002
US10000385,asgn-0007
US10000386,asgn-0003
US10000387,asgn-0008
US10000388,asgn-0005
US10000389,asgn-0010
US10000390,asgn-0010
US10000392,asgn-0001
US10000394,asgn-0004
US10000395,asgn-0009
US10000397,asgn-0009
US10000398,asgn-0005
US10000400,asgn-0007
US10000402,asgn-0004
US10000403,asgn-0002
US10000404,asgn-0002
US10000406,asgn-0003
US10000409,asgn-0008
US10000410,asgn-0008
US10000411,asgn-0010
US10000412,asgn-0006
US10000413,asgn-0007
US10000414,asgn-0003
US10000415,asgn-0007
US10000416,asgn-0002
US10000419,asgn-0003
US10000421,asgn-0009
US10000422,asgn-0009
US10000423,asgn-0006
US10000424,asgn-0005
US10000425,asgn-0008
US10000426,asgn-0004
US10000428,asgn-0006
US10000429,asgn-0010
US10000430,asgn-0003
US10000431,asgn-0001
US10000433,asgn-0003
US10000434,asgn-0007
US10000437,asgn-0003
US10000438,asgn-0010
US10000439,asgn-0010
US10000440,asgn-0002
US10000442,asgn-0004
US10000443,asgn-0001
US10000444,asgn-0007
US10000445,asgn-0010
US10000446,asgn-0001
US10000447,asgn-0007
US10000449,asgn-0007
US10000450,asgn-0009
US10000451,asgn-0007
US10000452,asgn-0007
US10000453,asgn-0004
US10000455,asgn-0009
US10000456,asgn-0005
US10000457,asgn-0003
US10000458,asgn-0009
US10000459,asgn-0009
US10000460,asgn-0007
US10000461,asgn-0008
US10000462,asgn-0002
US10000463,asgn-0002
US10000465,asgn-0002
US10000468,asgn-0008
US10000469,asgn-0007
US10000470,asgn-0005
US10000472,asgn-0008
US10000473,asgn-0008
US10000475,asgn-0007
US10000476,asgn-0004
US10000477,asgn-0005
US10000478,asgn-0004
US10000479,asgn-0006
US10000480,asgn-0001
US10000481,asgn-0004
US10000482,asgn-0008
US10000483,asgn-0005
US10000485,asgn-0010
US10000487,asgn-0008
US10000488,asgn-0005
US10000490,asgn-0008
US10000491,asgn-0010
US10000492,asgn-0008
US10000494,asgn-0009
US10000495,asgn-0005
US10000496,asgn-0002
US10000497,asgn-0004
US10000498,asgn-0003
US10000499,asgn-0003
US10000500,asgn-0008
