patent_id	date	title	abstract
US10000079	2016-07-30	Quantum network	A method and apparatus for improved performance.
US10000080	2015-02-27	Neural apparatus	A method and apparatus for improved performance.
US10000081	2021-07-22	Optical network	A method and apparatus for improved performance.
US10000082	2021-12-12	Wireless system	A method and apparatus for improved performance.
US10000083	2022-11-11	Neural network	A method and apparatus for improved performance.
US10000084	2018-05-31	Optical circuit	A method and apparatus for improved performance.
US10000085	2016-07-09	Optical method	A method and apparatus for improved performance.
US10000086	2019-09-13	Wireless network	A method and apparatus for improved performance.
US10000087	2021-11-26	Optical system	A method and apparatus for improved performance.
US10000088	2019-12-27	Quantum system	A method and apparatus for improved performance.
US10000089	2015-09-06	Optical system	A method and apparatus for improved performance.
US10000090	2020-02-06	Semiconductor network	A method and apparatus for improved performance.
US10000091	2015-07-27	Neural device	A method and apparatus for improved performance.
US10000092	2017-04-28	Wireless device	A method and apparatus for improved performance.
US10000093	2015-01-12	Neural device	A method and apparatus for improved performance.
US10000094	2016-03-26	Battery circuit	A method and apparatus for improved performance.
US10000095	2021-08-08	Neural circuit	A method and apparatus for improved performance.
US10000096	2020-11-24	Semiconductor network	A method and apparatus for improved performance.
US10000097	2020-10-03	Wireless circuit	A method and apparatus for improved performance.
US10000098	2015-06-27	Battery network	A method and apparatus for improved performance.
US10000099	2015-09-07	Optical method	A method and apparatus for improved performance.
US10000100	2015-10-29	Semiconductor system	A method and apparatus for improved performance.
US10000101	2021-02-24	Battery system	A method and apparatus for improved performance.
US10000102	2021-10-15	Optical circuit	A method and apparatus for improved performance.
US10000103	2021-03-08	Battery device	A method and apparatus for improved performance.
US10000104	2019-06-22	Optical network	A method and apparatus for improved performance.
US10000105	2019-03-14	Quantum network	A method and apparatus for improved performance.
US10000106	2016-01-17	Optical circuit	A method and apparatus for improved performance.
US10000107	2021-04-19	Wireless system	A method and apparatus for improved performance.
US10000108	2019-09-29	Battery circuit	A method and apparatus for improved performance.
US10000109	2020-09-09	Quantum device	A method and apparatus for improved performance.
US10000110	2019-02-14	Semiconductor system	A method and apparatus for improved performance.
US10000111	2021-12-21	Wireless network	A method and apparatus for improved performance.
US10000112	2022-10-11	Neural circuit	A method and apparatus for improved performance.
US10000113	2018-10-23	Neural circuit	A method and apparatus for improved performance.
US10000114	2015-10-13	Quantum network	A method and apparatus for improved performance.
US10000115	2019-09-16	Optical system	A method and apparatus for improved performance.
US10000116	2021-05-13	Wireless circuit	A method and apparatus for improved performance.
US10000117	2015-07-23	Battery circuit	A method and apparatus for improved performance.
US10000118	2019-12-16	Optical system	A method and apparatus for improved performance.
US10000119	2019-10-27	Semiconductor system	A method and apparatus for improved performance.
US10000120	2015-07-06	Quantum method	A method and apparatus for improved performance.
US10000121	2016-07-16	Neural system	A method and apparatus for improved performance.
US10000122	2016-12-20	Quantum method	A method and apparatus for improved performance.
US10000123	2015-10-23	Optical network	A method and apparatus for improved performance.
US10000124	2018-07-06	Wireless method	A method and apparatus for improved performance.
US10000125	2019-07-18	Semiconductor system	A method and apparatus for improved performance.
US10000126	2015-12-27	Optical circuit	A method and apparatus for improved performance.
US10000127	2015-11-19	Optical system	A method and apparatus for improved performance.
US10000128	2020-09-21	Battery circuit	A method and apparatus for improved performance.
US10000129	2017-08-25	Semiconductor device	A method and apparatus for improved performance.
US10000130	2016-12-26	Battery method	A method and apparatus for improved performance.
US10000131	2022-08-21	Wireless network	A method and apparatus for improved performance.
US10000132	2015-10-07	Optical method	A method and apparatus for improved performance.
US10000133	2015-10-31	Neural method	A method and apparatus for improved performance.
US10000134	2015-11-11	Battery circuit	A method and apparatus for improved performance.
US10000135	2015-06-18	Optical apparatus	A method and apparatus for improved performance.
US10000136	2015-09-11	Optical circuit	A method and apparatus for improved performance.
US10000137	2015-06-10	Quantum network	A method and apparatus for improved performance.
US10000138	2019-01-30	Neural system	A method and apparatus for improved performance.
US10000139	2015-08-03	Battery network	A method and apparatus for improved performance.
US10000140	2018-03-09	Neural network	A method and apparatus for improved performance.
US10000141	2018-12-03	Neural network	A method and apparatus for improved performance.
US10000142	2018-06-22	Wireless method	A method and apparatus for improved performance.
US10000143	2016-01-18	Battery network	A method and apparatus for improved performance.
US10000144	2017-01-08	Quantum system	A method and apparatus for improved performance.
US10000145	2016-09-26	Semiconductor system	A method and apparatus for improved performance.
US10000146	2015-06-04	Battery system	A method and apparatus for improved performance.
US10000147	2022-10-08	Wireless device	A method and apparatus for improved performance.
US10000148	2019-12-25	Wireless system	A method and apparatus for improved performance.
US10000149	2017-03-05	Neural network	A method and apparatus for improved performance.
US10000150	2020-08-21	Wireless method	A method and apparatus for improved performance.
US10000151	2016-07-20	Neural circuit	A method and apparatus for improved performance.
US10000152	2022-12-23	Wireless circuit	A method and apparatus for improved performance.
US10000153	2020-10-03	Quantum method	A method and apparatus for improved performance.
US10000154	2018-12-02	Semiconductor method	A method and apparatus for improved performance.
US10000155	2019-05-01	Semiconductor system	A method and apparatus for improved performance.
US10000156	2022-04-16	Neural device	A method and apparatus for improved performance.
US10000157	2022-10-22	Quantum network	A method and apparatus for improved performance.
US10000158	2015-03-19	Neural device	A method and apparatus for improved performance.
US10000159	2021-10-29	Wireless method	A method and apparatus for improved performance.
US10000160	2016-05-14	Semiconductor device	A method and apparatus for improved performance.
US10000161	2020-08-09	Wireless apparatus	A method and apparatus for improved performance.
US10000162	2016-08-11	Neural method	A method and apparatus for improved performance.
US10000163	2019-09-03	Quantum network	A method and apparatus for improved performance.
US10000164	2021-02-06	Wireless apparatus	A method and apparatus for improved performance.
US10000165	2019-03-10	Neural network	A method and apparatus for improved performance.
US10000166	2017-09-14	Battery network	A method and apparatus for improved performance.
US10000167	2016-06-30	Semiconductor system	A method and apparatus for improved performance.
US10000168	2022-09-05	Optical network	A method and apparatus for improved performance.
US10000169	2015-09-16	Battery method	A method and apparatus for improved performance.
US10000170	2015-06-21	Neural system	A method and apparatus for improved performance.
US10000171	2018-03-17	Neural circuit	A method and apparatus for improved performance.
US10000172	2019-06-27	Battery method	A method and apparatus for improved performance.
US10000173	2019-02-13	Wireless system	A method and apparatus for improved performance.
US10000174	2021-10-03	Quantum apparatus	A method and apparatus for improved performance.
US10000175	2018-06-09	Optical apparatus	A method and apparatus for improved performance.
US10000176	2015-06-23	Battery system	A method and apparatus for improved performance.
US10000177	2015-08-23	Semiconductor network	A method and apparatus for improved performance.
US10000178	2022-08-14	Quantum circuit	A method and apparatus for improved performance.
US10000179	2015-05-23	Quantum circuit	A method and apparatus for improved performance.
US10000180	2019-04-18	Wireless circuit	A method and apparatus for improved performance.
US10000181	2019-03-04	Optical circuit	A method and apparatus for improved performance.
US10000182	2017-10-19	Semiconductor circuit	A method and apparatus for improved performance.
US10000183	2016-04-27	Neural system	A method and apparatus for improved performance.
US10000184	2017-03-30	Semiconductor device	A method and apparatus for improved performance.
US10000185	2015-12-26	Battery system	A method and apparatus for improved performance.
US10000186	2018-05-13	Quantum network	A method and apparatus for improved performance.
US10000187	2017-07-07	Semiconductor device	A method and apparatus for improved performance.
US10000188	2019-01-18	Wireless apparatus	A method and apparatus for improved performance.
US10000189	2015-09-27	Neural method	A method and apparatus for improved performance.
US10000190	2021-06-12	Semiconductor device	A method and apparatus for improved performance.
US10000191	2018-11-12	Quantum apparatus	A method and apparatus for improved performance.
US10000192	2019-11-08	Wireless circuit	A method and apparatus for improved performance.
US10000193	2016-10-25	Neural network	A method and apparatus for improved performance.
US10000194	2020-10-26	Neural circuit	A method and apparatus for improved performance.
US10000195	2018-01-29	Quantum network	A method and apparatus for improved performance.
US10000196	2021-08-21	Wireless device	A method and apparatus for improved performance.
US10000197	2018-10-14	Wireless circuit	A method and apparatus for improved performance.
US10000198	2017-12-20	Battery device	A method and apparatus for improved performance.
US10000199	2018-04-01	Battery system	A method and apparatus for improved performance.
US10000200	2015-10-26	Battery circuit	A method and apparatus for improved performance.
US10000201	2017-04-15	Neural apparatus	A method and apparatus for improved performance.
US10000202	2018-07-31	Battery system	A method and apparatus for improved performance.
US10000203	2016-03-10	Neural device	A method and apparatus for improved performance.
US10000204	2016-02-01	Semiconductor system	A method and apparatus for improved performance.
US10000205	2018-09-03	Wireless network	A method and apparatus for improved performance.
US10000206	2020-03-27	Optical system	A method and apparatus for improved performance.
US10000207	2020-09-01	Optical device	A method and apparatus for improved performance.
US10000208	2018-02-26	Optical apparatus	A method and apparatus for improved performance.
US10000209	2019-11-01	Quantum system	A method and apparatus for improved performance.
US10000210	2015-07-29	Wireless apparatus	A method and apparatus for improved performance.
US10000211	2019-05-02	Wireless method	A method and apparatus for improved performance.
US10000212	2016-02-01	Optical system	A method and apparatus for improved performance.
US10000213	2021-10-03	Wireless method	A method and apparatus for improved performance.
US10000214	2020-04-24	Wireless method	A method and apparatus for improved performance.
US10000215	2016-07-26	Neural apparatus	A method and apparatus for improved performance.
US10000216	2018-05-10	Wireless system	A method and apparatus for improved performance.
US10000217	2020-04-29	Semiconductor system	A method and apparatus for improved performance.
US10000218	2021-07-18	Neural network	A method and apparatus for improved performance.
US10000219	2021-06-23	Quantum network	A method and apparatus for improved performance.
US10000220	2022-01-20	Battery apparatus	A method and apparatus for improved performance.
US10000221	2022-11-09	Semiconductor device	A method and apparatus for improved performance.
US10000222	2019-08-19	Battery device	A method and apparatus for improved performance.
US10000223	2015-09-13	Battery device	A method and apparatus for improved performance.
US10000224	2020-05-13	Wireless method	A method and apparatus for improved performance.
US10000225	2018-11-03	Wireless system	A method and apparatus for improved performance.
US10000226	2021-11-03	Optical device	A method and apparatus for improved performance.
US10000227	2018-05-04	Neural network	A method and apparatus for improved performance.
US10000228	2020-05-19	Neural apparatus	A method and apparatus for improved performance.
US10000229	2019-04-05	Optical system	A method and apparatus for improved performance.
US10000230	2018-11-19	Optical network	A method and apparatus for improved performance.
US10000231	2018-01-15	Wireless network	A method and apparatus for improved performance.
US10000232	2017-09-07	Quantum circuit	A method and apparatus for improved performance.
US10000233	2019-08-20	Neural network	A method and apparatus for improved performance.
US10000234	2021-03-04	Quantum method	A method and apparatus for improved performance.
US10000235	2018-08-08	Neural network	A method and apparatus for improved performance.
US10000236	2017-08-09	Wireless network	A method and apparatus for improved performance.
US10000237	2016-12-21	Semiconductor method	A method and apparatus for improved performance.
US10000238	2018-03-31	Semiconductor circuit	A method and apparatus for improved performance.
US10000239	2018-03-11	Optical network	A method and apparatus for improved performance.
US10000240	2020-04-01	Neural device	A method and apparatus for improved performance.
US10000241	2022-04-09	Neural network	A method and apparatus for improved performance.
US10000242	2021-05-14	Battery device	A method and apparatus for improved performance.
US10000243	2019-07-19	Optical apparatus	A method and apparatus for improved performance.
US10000244	2016-07-29	Optical system	A method and apparatus for improved performance.
US10000245	2020-01-04	Neural system	A method and apparatus for improved performance.
US10000246	2022-05-01	Neural network	A method and apparatus for improved performance.
US10000247	2018-06-10	Quantum method	A method and apparatus for improved performance.
US10000248	2022-03-01	Neural system	A method and apparatus for improved performance.
US10000249	2019-03-11	Optical network	A method and apparatus for improved performance.
US10000250	2017-06-13	Quantum network	A method and apparatus for improved performance.
US10000251	2015-11-16	Wireless circuit	A method and apparatus for improved performance.
US10000252	2017-04-08	Wireless apparatus	A method and apparatus for improved performance.
US10000253	2019-12-15	Semiconductor network	A method and apparatus for improved performance.
US10000254	2020-09-21	Optical circuit	A method and apparatus for improved performance.
US10000255	2015-08-25	Wireless method	A method and apparatus for improved performance.
US10000256	2017-06-11	Wireless circuit	A method and apparatus for improved performance.
US10000257	2021-01-25	Semiconductor circuit	A method and apparatus for improved performance.
US10000258	2022-03-12	Battery network	A method and apparatus for improved performance.
US10000259	2019-03-19	Semiconductor network	A method and apparatus for improved performance.
US10000260	2016-04-30	Quantum apparatus	A method and apparatus for improved performance.
US10000261	2015-01-15	Semiconductor system	A method and apparatus for improved performance.
US10000262	2019-04-03	Quantum device	A method and apparatus for improved performance.
US10000263	2015-05-12	Battery method	A method and apparatus for improved performance.
US10000264	2021-08-29	Semiconductor method	A method and apparatus for improved performance.
US10000265	2019-07-06	Optical device	A method and apparatus for improved performance.
US10000266	2018-03-30	Quantum network	A method and apparatus for improved performance.
US10000267	2017-08-28	Neural device	A method and apparatus for improved performance.
US10000268	2021-03-30	Wireless network	A method and apparatus for improved performance.
US10000269	2020-07-23	Semiconductor system	A method and apparatus for improved performance.
US10000270	2019-07-31	Quantum system	A method and apparatus for improved performance.
US10000271	2017-07-12	Neural network	A method and apparatus for improved performance.
US10000272	2021-04-22	Optical method	A method and apparatus for improved performance.
US10000273	2018-09-14	Battery circuit	A method and apparatus for improved performance.
US10000274	2015-07-31	Neural method	A method and apparatus for improved performance.
US10000275	2022-07-13	Wireless device	A method and apparatus for improved performance.
US10000276	2017-05-17	Quantum network	A method and apparatus for improved performance.
US10000277	2020-05-15	Quantum network	A method and apparatus for improved performance.
US10000278	2021-03-11	Neural system	A method and apparatus for improved performance.
US10000279	2017-12-07	Neural apparatus	A method and apparatus for improved performance.
US10000280	2020-04-07	Neural device	A method and apparatus for improved performance.
US10000281	2016-08-20	Semiconductor system	A method and apparatus for improved performance.
US10000282	2017-03-14	Neural device	A method and apparatus for improved performance.
US10000283	2017-11-20	Optical network	A method and apparatus for improved performance.
US10000284	2016-11-24	Quantum network	A method and apparatus for improved performance.
US10000285	2015-08-29	Wireless circuit	A method and apparatus for improved performance.
US10000286	2019-08-17	Quantum network	A method and apparatus for improved performance.
US10000287	2017-06-14	Wireless method	A method and apparatus for improved performance.
US10000288	2020-06-02	Battery method	A method and apparatus for improved performance.
US10000289	2015-02-18	Semiconductor apparatus	A method and apparatus for improved performance.
US10000290	2017-01-04	Semiconductor circuit	A method and apparatus for improved performance.
US10000291	2018-12-22	Neural method	A method and apparatus for improved performance.
US10000292	2020-02-24	Wireless device	A method and apparatus for improved performance.
US10000293	2015-11-27	Battery network	A method and apparatus for improved performance.
US10000294	2021-03-13	Optical circuit	A method and apparatus for improved performance.
US10000295	2022-03-26	Neural apparatus	A method and apparatus for improved performance.
US10000296	2017-07-30	Quantum network	A method and apparatus for improved performance.
US10000297	2022-09-04	Neural apparatus	A method and apparatus for improved performance.
US10000298	2018-07-12	Semiconductor device	A method and apparatus for improved performance.
US10000299	2015-11-12	Neural device	A method and apparatus for improved performance.
US10000300	2018-09-20	Optical network	A method and apparatus for improved performance.
US10000301	2018-11-17	Semiconductor circuit	A method and apparatus for improved performance.
US10000302	2021-09-05	Optical system	A method and apparatus for improved performance.
US10000303	2020-07-02	Quantum system	A method and apparatus for improved performance.
US10000304	2015-12-18	Wireless system	A method and apparatus for improved performance.
US10000305	2016-09-23	Optical network	A method and apparatus for improved performance.
US10000306	2016-01-10	Semiconductor system	A method and apparatus for improved performance.
US10000307	2015-12-24	Quantum method	A method and apparatus for improved performance.
US10000308	2016-01-03	Neural apparatus	A method and apparatus for improved performance.
US10000309	2019-04-27	Semiconductor system	A method and apparatus for improved performance.
US10000310	2017-09-21	Wireless apparatus	A method and apparatus for improved performance.
US10000311	2018-01-06	Neural system	A method and apparatus for improved performance.
US10000312	2019-09-21	Neural method	A method and apparatus for improved performance.
US10000313	2022-01-04	Optical apparatus	A method and apparatus for improved performance.
US10000314	2019-06-09	Neural apparatus	A method and apparatus for improved performance.
US10000315	2016-07-11	Neural system	A method and apparatus for improved performance.
US10000316	2018-07-31	Neural network	A method and apparatus for improved performance.
US10000317	2019-03-21	Neural method	A method and apparatus for improved performance.
US10000318	2017-01-06	Battery apparatus	A method and apparatus for improved performance.
US10000319	2019-12-01	Neural network	A method and apparatus for improved performance.
US10000320	2022-02-07	Neural device	A method and apparatus for improved performance.
US10000321	2015-10-30	Optical apparatus	A method and apparatus for improved performance.
US10000322	2021-02-04	Semiconductor system	A method and apparatus for improved performance.
US10000323	2016-03-23	Quantum network	A method and apparatus for improved performance.
US10000324	2022-03-27	Battery network	A method and apparatus for improved performance.
US10000325	2019-10-30	Semiconductor circuit	A method and apparatus for improved performance.
US10000326	2021-04-04	Wireless network	A method and apparatus for improved performance.
US10000327	2022-09-29	Wireless device	A method and apparatus for improved performance.
US10000328	2015-12-18	Semiconductor network	A method and apparatus for improved performance.
US10000329	2017-04-27	Wireless method	A method and apparatus for improved performance.
US10000330	2018-07-30	Semiconductor system	A method and apparatus for improved performance.
US10000331	2022-04-08	Semiconductor network	A method and apparatus for improved performance.
US10000332	2021-03-10	Quantum system	A method and apparatus for improved performance.
US10000333	2017-02-02	Battery network	A method and apparatus for improved performance.
US10000334	2020-01-16	Wireless method	A method and apparatus for improved performance.
US10000335	2022-11-22	Semiconductor apparatus	A method and apparatus for improved performance.
US10000336	2017-03-18	Optical circuit	A method and apparatus for improved performance.
US10000337	2021-09-11	Optical apparatus	A method and apparatus for improved performance.
US10000338	2021-12-03	Quantum network	A method and apparatus for improved performance.
US10000339	2018-07-06	Semiconductor device	A method and apparatus for improved performance.
US10000340	2020-09-23	Optical method	A method and apparatus for improved performance.
US10000341	2022-02-16	Wireless network	A method and apparatus for improved performance.
US10000342	2017-02-05	Neural method	A method and apparatus for improved performance.
US10000343	2019-04-22	Wireless apparatus	A method and apparatus for improved performance.
US10000344	2020-06-24	Quantum circuit	A method and apparatus for improved performance.
US10000345	2017-07-09	Wireless system	A method and apparatus for improved performance.
US10000346	2021-03-01	Wireless circuit	A method and apparatus for improved performance.
US10000347	2021-01-29	Semiconductor network	A method and apparatus for improved performance.
US10000348	2016-02-24	Battery network	A method and apparatus for improved performance.
US10000349	2015-05-13	Optical system	A method and apparatus for improved performance.
US10000350	2016-04-25	Quantum device	A method and apparatus for improved performance.
US10000351	2021-11-04	Battery method	A method and apparatus for improved performance.
US10000352	2017-04-27	Semiconductor apparatus	A method and apparatus for improved performance.
US10000353	2018-08-18	Battery system	A method and apparatus for improved performance.
US10000354	2020-10-08	Battery circuit	A method and apparatus for improved performance.
US10000355	2018-02-09	Battery device	A method and apparatus for improved performance.
US10000356	2022-08-01	Optical method	A method and apparatus for improved performance.
US10000357	2019-03-17	Optical circuit	A method and apparatus for improved performance.
US10000358	2022-10-16	Neural method	A method and apparatus for improved performance.
US10000359	2020-02-21	Battery network	A method and apparatus for improved performance.
US10000360	2017-05-17	Optical system	A method and apparatus for improved performance.
US10000361	2021-05-07	Optical system	A method and apparatus for improved performance.
US10000362	2015-03-08	Semiconductor device	A method and apparatus for improved performance.
US10000363	2019-10-19	Quantum network	A method and apparatus for improved performance.
US10000364	2016-01-18	Battery system	A method and apparatus for improved performance.
US10000365	2015-08-01	Optical network	A method and apparatus for improved performance.
US10000366	2022-05-08	Semiconductor network	A method and apparatus for improved performance.
US10000367	2016-06-27	Wireless device	A method and apparatus for improved performance.
US10000368	2016-05-08	Optical network	A method and apparatus for improved performance.
US10000369	2016-01-01	Battery circuit	A method and apparatus for improved performance.
US10000370	2016-07-15	Optical device	A method and apparatus for improved performance.
US10000371	2021-11-04	Battery device	A method and apparatus for improved performance.
US10000372	2019-08-14	Wireless network	A method and apparatus for improved performance.
US10000373	2016-07-27	Semiconductor apparatus	A method and apparatus for improved performance.
US10000374	2017-10-11	Neural network	A method and apparatus for improved performance.
US10000375	2021-10-24	Neural network	A method and apparatus for improved performance.
US10000376	2017-04-21	Wireless apparatus	A method and apparatus for improved performance.
US10000377	2017-09-07	Optical method	A method and apparatus for improved performance.
US10000378	2015-10-18	Wireless circuit	A method and apparatus for improved performance.
US10000379	2019-09-20	Neural apparatus	A method and apparatus for improved performance.
US10000380	2015-10-26	Semiconductor apparatus	A method and apparatus for improved performance.
US10000381	2015-09-05	Optical apparatus	A method and apparatus for improved performance.
US10000382	2019-10-01	Battery method	A method and apparatus for improved performance.
US10000383	2016-09-17	Neural circuit	A method and apparatus for improved performance.
US10000384	2016-09-28	Wireless system	A method and apparatus for improved performance.
US10000385	2018-06-24	Battery method	A method and apparatus for improved performance.
US10000386	2016-04-20	Optical apparatus	A method and apparatus for improved performance.
US10000387	2016-05-04	Semiconductor network	A method and apparatus for improved performance.
US10000388	2018-11-21	Wireless apparatus	A method and apparatus for improved performance.
US10000389	2016-04-28	Semiconductor system	A method and apparatus for improved performance.
US10000390	2022-01-14	Semiconductor method	A method and apparatus for improved performance.
US10000391	2016-11-14	Neural device	A method and apparatus for improved performance.
US10000392	2022-07-24	Battery circuit	A method and apparatus for improved performance.
US10000393	2015-02-20	Quantum circuit	A method and apparatus for improved performance.
US10000394	2017-01-03	Semiconductor apparatus	A method and apparatus for improved performance.
US10000395	2019-09-01	Battery system	A method and apparatus for improved performance.
US10000396	2022-07-20	Semiconductor device	A method and apparatus for improved performance.
US10000397	2019-07-01	Semiconductor method	A method and apparatus for improved performance.
US10000398	2020-02-14	Semiconductor system	A method and apparatus for improved performance.
US10000399	2021-12-25	Quantum method	A method and apparatus for improved performance.
US10000400	2017-03-11	Battery apparatus	A method and apparatus for improved performance.
US10000401	2015-04-08	Quantum apparatus	A method and apparatus for improved performance.
US10000402	2018-10-04	Semiconductor network	A method and apparatus for improved performance.
US10000403	2020-12-10	Quantum method	A method and apparatus for improved performance.
US10000404	2015-06-29	Quantum apparatus	A method and apparatus for improved performance.
US10000405	2021-07-06	Semiconductor apparatus	A method and apparatus for improved performance.
US10000406	2015-11-03	Wireless apparatus	A method and apparatus for improved performance.
US10000407	2017-08-27	Neural system	A method and apparatus for improved performance.
US10000408	2018-08-29	Neural method	A method and apparatus for improved performance.
US10000409	2016-07-11	Wireless circuit	A method and apparatus for improved performance.
US10000410	2018-07-10	Optical circuit	A method and apparatus for improved performance.
US10000411	2017-12-21	Semiconductor circuit	A method and apparatus for improved performance.
US10000412	2015-06-15	Quantum system	A method and apparatus for improved performance.
US10000413	2019-06-12	Wireless circuit	A method and apparatus for improved performance.
US10000414	2020-01-27	Wireless network	A method and apparatus for improved performance.
US10000415	2016-05-12	Semiconductor circuit	A method and apparatus for improved performance.
US10000416	2019-03-05	Battery network	A method and apparatus for improved performance.
US10000417	2015-03-31	Semiconductor device	A method and apparatus for improved performance.
US10000418	2018-09-20	Semiconductor circuit	A method and apparatus for improved performance.
US10000419	2019-11-10	Battery method	A method and apparatus for improved performance.
US10000420	2018-12-20	Quantum device	A method and apparatus for improved performance.
US10000421	2015-05-22	Wireless apparatus	A method and apparatus for improved performance.
US10000422	2020-05-16	Semiconductor circuit	A method and apparatus for improved performance.
US10000423	2017-10-17	Battery apparatus	A method and apparatus for improved performance.
US10000424	2020-05-18	Wireless method	A method and apparatus for improved performance.
US10000425	2017-01-06	Semiconductor system	A method and apparatus for improved performance.
US10000426	2020-12-08	Neural apparatus	A method and apparatus for improved performance.
US10000427	2017-12-27	Wireless network	A method and apparatus for improved performance.
US10000428	2017-06-17	Wireless method	A method and apparatus for improved performance.
US10000429	2022-10-28	Neural apparatus	A method and apparatus for improved performance.
